Num,Brand,Model_Name,Processor,Operating_System,Storage_MB,RAM_GB,Screen_Size,Touch_Screen,Price
92,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,467.88
93,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
94,Acer,A514-56GM,Core i5,Windows 11 Home,512,16,35.56,No,683.88
95,Acer,AN515-58,Core i7,Windows 11 Home,512,16,39.62,No,1043.88
96,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
97,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
98,MSI,Modern 14 C11M-030IN,Core i5,Windows 11 Home,512,8,35.56,No,443.88
99,ASUS,Vivobook 16X,Ryzen 7 Octa Core,Windows 11 Home,512,16,40.64,No,688.68
100,Infinix,XL30,Celeron Quad Core,Windows 11 Home,512,8,39.01,No,287.88
101,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512,16,35.56,No,659.88
102,HP,14-dv2153TU,Core i5,Windows 11 Home,1000,16,35.56,No,803.99
103,HP,15s-fy5002TU,Core i5,Windows 11 Home,512,8,39.62,No,599.88
104,DELL,Inspiron 3511,Core i5,Windows 11 Home,512,8,39.62,No,551.88
105,ASUS,X515EA-EJ312W,Core i3,Windows 11 Home,2000,8,39.62,No,335.88
106,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,935.88
107,HP,15-eg3079TU,Core i5,Windows 11 Home,512,16,39.62,No,803.88
108,HP,15s- eq1580AU,Ryzen 3 Dual Core,Windows 11 Home,512,8,39.62,No,371.99
109,HP,15-fb0131AX,Ryzen 5 Hexa Core,Windows 11 Home,512,8,39.62,No,705.60
110,HP,14s - dy2508TU,Core i3,Windows 11 Home,512,8,35.56,No,520.19
111,HP,15-fd0011TU,Core i5,Windows 11 Home,512,8,39.62,No,725.88
112,HP,14c-cc0010TU,Core i5,Chrome,256,8,35.56,No,755.88
113,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
114,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
115,Lenovo,15ITL05,Core i3,Windows 11 Home,-1,8,39.62,No,395.88
116,MSI,Modern 14 C7M-062IN,Ryzen 5 Hexa Core,Windows 11 Home,512,16,35.56,No,455.88
117,HP,15s-ey1509AU,Athlon Dual Core,Windows 11 Home,512,8,39.62,No,368.28
118,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,467.88
119,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
120,Apple,MacBook Air,M2,Mac OS Monterey,256,8,34.54,No,1259.88
121,HP,255 G8 Laptop,Ryzen 3 Dual Core,DOS,512,8,39.62,No,287.99
122,HP,14-dv2153TU,Core i5,Windows 11 Home,1000,16,35.56,No,803.99
123,HP,14c-cc0010TU,Core i5,Chrome,256,8,35.56,No,755.88
124,ASUS,E1504FA-LK321WS,Ryzen 3 Quad Core,Windows 11 Home,1000,8,39.62,No,479.88
125,Lenovo,V15 G2 ALC,Ryzen 5 Hexa Core,Windows 11 Home,512,8,39.62,No,419.88
126,ASUS,E1504FA-LK323WS,Ryzen 3 Quad Core,Windows 11 Home,512,8,39.62,No,479.88
127,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,935.88
128,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512,16,35.56,No,659.88
129,HP,15s-fy5006TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
130,HP,14s - dy2507TU,Core i3,Windows 11 Home,256,8,35.56,No,431.88
131,HP,15-eg3079TU,Core i5,Windows 11 Home,512,16,39.62,No,803.88
132,HP,15-fd0011TU,Core i5,Windows 11 Home,512,8,39.62,No,725.88
133,HP,15s-fq5202TU,Core i5,Windows 11 Home,512,8,39.62,No,647.88
134,Lenovo,15IRU8,Core i3,Windows 11 Home,512,8,39.62,No,539.88
135,HP,14-dv2014TU,Core i5,Windows 11 Home,512,16,35.56,No,767.99
136,ASUS,UP5401ZA-KU541WS,Core i5,Windows 11 Home,512,16,35.56,Yes,923.88
137,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,467.88
138,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
139,WINGS,WL-Nuvobook V1-GRN,Core i5,Windows 11 Home,512,8,39.62,No,335.88
140,HP,14a-ca0504TU,Celeron Quad Core,Chrome,64,4,35.56,Yes,294.00
141,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
142,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
143,Lenovo,15APH8,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,1223.88
144,Ultimus,NU14U3INF56BN-SG,Core i5,Windows 11 Home,512,8,35.81,Yes,239.88
